Group	Supergroup	D1156_ampliconV4	D1156_ampliconV9	D1158_ampliconV4	D1158_ampliconV9	D1160_ampliconV4	D1160_ampliconV9	D1168_ampliconV4	D1168_ampliconV9	D1170_ampliconV4	D1170_ampliconV9	D1172_ampliconV4	D1172_ampliconV9	D1180_ampliconV4	D1180_ampliconV9	D1660_ampliconV4	D1660_ampliconV9	D1662_ampliconV4	D1662_ampliconV9	D1668_ampliconV4	D1668_ampliconV9	D1672_ampliconV4	D1672_ampliconV9	D1684_ampliconV4	D1684_ampliconV9	D2219_ampliconV4	D2219_ampliconV9	D2221_ampliconV4	D2221_ampliconV9	D2225_ampliconV4	D2225_ampliconV9	D2227_ampliconV4	D2227_ampliconV9	D2229_ampliconV4	D2229_ampliconV9	D864_ampliconV4	D864_ampliconV9	D866_ampliconV4	D866_ampliconV9	D868_ampliconV4	D868_ampliconV9	D870_ampliconV4	D870_ampliconV9	D872_ampliconV4	D872_ampliconV9	D874_ampliconV4	D874_ampliconV9	MP0878_mTags	MP0880_mTags	MP0882_mTags	MP0884_mTags	MP0886_mTags	MP0888_mTags	MP1154_mTags	MP1162_mTags	MP1164_mTags	MP1166_mTags	MP1174_mTags	MP1176_mTags	MP1178_mTags	MP1672_mTags	MP1674_mTags	MP1676_mTags	MP1682_mTags	MP1684_mTags	MP2233bis_mTags	MP2235_mTags	MP2239_mTags	MP2241_mTags	MP2243_mTags
MAST-8	Stramenopiles	0	0	33	0	0	0	0	0	189	0	45	0	115	0	0	0	12	0	53	0	17	0	47	0	0	0	116	0	13	0	49	19	31	0	0	0	0	0	57	6	21	0	64	19	105	0	0	0	1	0	1	0	0	0	1	1	2	0	1	1	0	0	1	1	0	0	1	2	0
MAST-9	Stramenopiles	33	0	0	0	0	0	11	0	171	0	12	3	70	5	0	0	0	0	0	0	93	11	76	0	0	0	0	0	14	0	15	0	80	0	6	0	0	0	26	0	0	0	27	11	179	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0
MOCH-1	Stramenopiles	0	0	0	0	0	0	0	0	295	0	150	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	79	0	0	0	0	0	0	0	0	0	0	0	45	0	1	1	2	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
MOCH-2	Stramenopiles	0	0	0	0	0	0	0	4	582	213	54	60	51	0	0	0	0	0	0	0	30	16	32	28	0	0	0	0	0	0	26	8	88	151	0	0	0	0	0	0	0	0	0	0	49	106	0	0	0	0	0	2	0	0	0	0	7	3	0	2	0	0	0	0	0	0	0	0	4
MOCH-4	Stramenopiles	0	0	0	6	0	0	0	16	0	0	128	41	65	16	0	0	0	0	54	14	0	9	50	34	0	0	0	0	13	21	64	40	51	48	0	0	0	0	0	8	0	19	40	46	244	180	0	0	0	0	1	5	0	0	0	2	3	0	1	0	0	0	0	0	0	0	0	2	0
MOCH-5	Stramenopiles	0	0	0	0	0	0	0	0	267	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	119	22	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
"NA"	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	3	7	4	2	5	13	3	6	6	1	10	0	0	6	11	8	7	1	14	3
"NA"	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	5	1
"NA"	Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0
"NA"	"NA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	8	2	6	7	3	3	6	1	4	2	4	4	3	1	1	3	6	3	0	7	3
