Group	Supergroup	MP0311_HMM	MP0311_noHMM	MP0313_HMM	MP0313_noHMM	MP0315_HMM	MP0315_noHMM	MP0317_HMM	MP0317_noHMM	MP0319_HMM	MP0319_noHMM	MP0321_HMM	MP0321_noHMM	MP0323_HMM	MP0323_noHMM	MP0778_HMM	MP0778_noHMM	MP0784_HMM	MP0784_noHMM	MP0786_HMM	MP0786_noHMM	MP0788_HMM	MP0788_noHMM	MP0790_HMM	MP0790_noHMM	MP0878_HMM	MP0878_noHMM	MP0880_HMM	MP0880_noHMM	MP0882_HMM	MP0882_noHMM	MP0884_HMM	MP0884_noHMM	MP0886_HMM	MP0886_noHMM	MP0888_HMM	MP0888_noHMM	MP1154_HMM	MP1154_noHMM	MP1162_HMM	MP1162_noHMM	MP1164_HMM	MP1164_noHMM	MP1166_HMM	MP1166_noHMM	MP1174_HMM	MP1174_noHMM	MP1176_HMM	MP1176_noHMM	MP1178_HMM	MP1178_noHMM	MP1409_HMM	MP1409_noHMM	MP1411_HMM	MP1411_noHMM	MP1413_HMM	MP1413_noHMM	MP1415_HMM	MP1415_noHMM	MP1417_HMM	MP1417_noHMM	MP1419_HMM	MP1419_noHMM	MP1421_HMM	MP1421_noHMM	MP1517_HMM	MP1517_noHMM	MP1519_HMM	MP1519_noHMM	MP1521_HMM	MP1521_noHMM	MP1523_HMM	MP1523_noHMM	MP1525_HMM	MP1525_noHMM	MP1527_HMM	MP1527_noHMM	MP1529_HMM	MP1529_noHMM	MP1671_HMM	MP1671_noHMM	MP1672_HMM	MP1672_noHMM	MP1673-1675m_HMM	MP1673-1675m_noHMM	MP1674_HMM	MP1674_noHMM	MP1676_HMM	MP1676_noHMM	MP1677_HMM	MP1677_noHMM	MP1678_HMM	MP1678_noHMM	MP1679_HMM	MP1679_noHMM	MP1680_HMM	MP1680_noHMM	MP1681_HMM	MP1681_noHMM	MP1682_HMM	MP1682_noHMM	MP1683_HMM	MP1683_noHMM	MP1684_HMM	MP1684_noHMM	MP1845_HMM	MP1845_noHMM	MP1847_HMM	MP1847_noHMM	MP1849_HMM	MP1849_noHMM	MP1851_HMM	MP1851_noHMM	MP1853_HMM	MP1853_noHMM	MP1855_HMM	MP1855_noHMM	MP1857_HMM	MP1857_noHMM	MP2231_HMM	MP2231_noHMM	MP2233bis_HMM	MP2233bis_noHMM	MP2235_HMM	MP2235_noHMM	MP2239_HMM	MP2239_noHMM	MP2241_HMM	MP2241_noHMM	MP2243_HMM	MP2243_noHMM	MP2809_HMM	MP2809_noHMM	MP2811_HMM	MP2811_noHMM	MP2813_HMM	MP2813_noHMM	MP2815_HMM	MP2815_noHMM	MP2817_HMM	MP2817_noHMM	MP2819_HMM	MP2819_noHMM	MP2821_HMM	MP2821_noHMM
Diatomea	Stramenopiles	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	294	12	13	5	5	0	0	0	0	2	2	0	0	4	5	0	0	1	1	0	0	137	143	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dictyochophyceae	Stramenopiles	6	6	0	0	4	4	0	0	0	0	9	9	7	7	0	1	0	0	2	2	2	2	1	1	271	243	183	158	96	84	3	3	22	19	8	10	107	101	26	24	18	14	5	4	11	11	11	13	4	4	1	1	2	2	0	0	1	1	4	4	1	1	12	12	5	6	3	3	6	6	0	0	0	0	1	1	9	8	4	4	4	4	0	0	2	3	1	1	1	1	1	1	1	1	1	0	1	1	0	0	5	5	4	4	23	22	24	23	26	26	4	4	9	9	9	9	9	9	1	1	5	5	4	4	1	1	3	3	9	11	2	2	12	12	5	5	10	9	2	2	20	20	25	26
Dinoflagellata	Alveolata	64	67	14	15	17	17	15	15	26	29	54	56	43	47	21	23	0	0	26	27	11	14	4	5	14	14	6	7	7	6	4	4	34	36	44	49	6	9	16	17	16	19	21	22	71	78	55	60	18	20	12	12	17	17	16	17	27	28	59	63	44	45	32	35	73	74	27	27	28	30	69	71	34	37	24	28	66	73	3495	3689	117	120	589	624	3	3	9	9	1182	1226	21	21	1250	1306	22	23	1403	1467	26	25	2916	3042	115	123	0	1	4	4	9	9	15	15	17	18	59	62	45	48	15	15	21	20	26	25	24	25	116	122	44	46	35	34	6	6	22	22	67	67	53	56	64	65	101	106
Diplonemea	Excavata	1	2	23	39	28	34	22	27	19	24	1	1	11	13	0	0	0	1	24	31	7	11	0	0	14	19	25	32	17	27	5	7	24	28	5	5	13	17	37	47	18	25	18	21	6	7	2	4	12	14	33	43	18	24	11	16	16	23	6	6	7	8	1	1	10	11	54	65	44	57	197	252	27	34	16	22	6	9	11	19	4	4	1319	1739	13	15	29	37	2602	3419	41	58	2581	3387	60	82	2096	2773	49	71	132	154	4	4	1	2	35	38	22	25	13	17	16	20	3	5	1	1	88	117	115	152	70	83	30	39	3	4	1	1	31	40	11	14	39	47	21	23	32	38	4	4	6	6
Discosea	Amoebozoa	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	4	7	3	4	0	0	606	742	478	598	169	215	116	147	131	161	9	10	70	84	16	19	25	31	12	16	0	0	2	2	5	8	37	38	23	28	9	11	2	2	0	0	2	2	0	0	2	2	11	13	5	5	24	26	3	3	0	0	1	1	18	18	0	0	468	553	13	17	28	38	229	258	3	3	262	330	4	6	69	80	2	2	22	23	0	0	12	12	20	23	18	22	6	6	14	16	0	0	1	2	5	6	2	4	0	0	0	0	0	0	0	0	4	5	8	12	10	12	3	4	4	6	1	1	1	1
Ellobiopsidae	Alveolata	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	2	2	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	3	3	0	0	0	0	1	1	0	0	0	0	1	1	7	8	6	6	3	3	16	20	1	1	3	3	0	0	0	0	0	0	1	1	2	2	4	4	0	0	4	3	0	0	0	0	0	0	0	0	1	1	0	0	3	4	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	5	5	0	0	0	0
Euglenida	Excavata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Eustigmatales	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Foraminifera	Rhizaria	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	0	3	8	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	6	8	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	3	4	25	26	20	23	9	9	11	12	12	11	4	4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gracilipodida	Amoebozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
