Group	Supergroup	MP0311_HMM	MP0311_noHMM	MP0313_HMM	MP0313_noHMM	MP0315_HMM	MP0315_noHMM	MP0317_HMM	MP0317_noHMM	MP0319_HMM	MP0319_noHMM	MP0321_HMM	MP0321_noHMM	MP0323_HMM	MP0323_noHMM	MP0778_HMM	MP0778_noHMM	MP0784_HMM	MP0784_noHMM	MP0786_HMM	MP0786_noHMM	MP0788_HMM	MP0788_noHMM	MP0790_HMM	MP0790_noHMM	MP0878_HMM	MP0878_noHMM	MP0880_HMM	MP0880_noHMM	MP0882_HMM	MP0882_noHMM	MP0884_HMM	MP0884_noHMM	MP0886_HMM	MP0886_noHMM	MP0888_HMM	MP0888_noHMM	MP1154_HMM	MP1154_noHMM	MP1162_HMM	MP1162_noHMM	MP1164_HMM	MP1164_noHMM	MP1166_HMM	MP1166_noHMM	MP1174_HMM	MP1174_noHMM	MP1176_HMM	MP1176_noHMM	MP1178_HMM	MP1178_noHMM	MP1409_HMM	MP1409_noHMM	MP1411_HMM	MP1411_noHMM	MP1413_HMM	MP1413_noHMM	MP1415_HMM	MP1415_noHMM	MP1417_HMM	MP1417_noHMM	MP1419_HMM	MP1419_noHMM	MP1421_HMM	MP1421_noHMM	MP1517_HMM	MP1517_noHMM	MP1519_HMM	MP1519_noHMM	MP1521_HMM	MP1521_noHMM	MP1523_HMM	MP1523_noHMM	MP1525_HMM	MP1525_noHMM	MP1527_HMM	MP1527_noHMM	MP1529_HMM	MP1529_noHMM	MP1671_HMM	MP1671_noHMM	MP1672_HMM	MP1672_noHMM	MP1673-1675m_HMM	MP1673-1675m_noHMM	MP1674_HMM	MP1674_noHMM	MP1676_HMM	MP1676_noHMM	MP1677_HMM	MP1677_noHMM	MP1678_HMM	MP1678_noHMM	MP1679_HMM	MP1679_noHMM	MP1680_HMM	MP1680_noHMM	MP1681_HMM	MP1681_noHMM	MP1682_HMM	MP1682_noHMM	MP1683_HMM	MP1683_noHMM	MP1684_HMM	MP1684_noHMM	MP1845_HMM	MP1845_noHMM	MP1847_HMM	MP1847_noHMM	MP1849_HMM	MP1849_noHMM	MP1851_HMM	MP1851_noHMM	MP1853_HMM	MP1853_noHMM	MP1855_HMM	MP1855_noHMM	MP1857_HMM	MP1857_noHMM	MP2231_HMM	MP2231_noHMM	MP2233bis_HMM	MP2233bis_noHMM	MP2235_HMM	MP2235_noHMM	MP2239_HMM	MP2239_noHMM	MP2241_HMM	MP2241_noHMM	MP2243_HMM	MP2243_noHMM	MP2809_HMM	MP2809_noHMM	MP2811_HMM	MP2811_noHMM	MP2813_HMM	MP2813_noHMM	MP2815_HMM	MP2815_noHMM	MP2817_HMM	MP2817_noHMM	MP2819_HMM	MP2819_noHMM	MP2821_HMM	MP2821_noHMM
Nucleomorph	Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Other-Chlorophyta	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Palmophyllophyceae	Archaeplastida	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pedinophyceae	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pelagophyceae	Stramenopiles	0	0	0	0	0	0	1	1	0	0	2	2	68	76	10	12	0	0	0	0	0	0	12	12	1	1	0	0	0	0	0	0	0	0	72	82	0	0	0	0	0	0	0	0	55	61	2	2	1	1	0	0	2	2	0	0	0	0	117	125	0	0	75	83	5	5	0	0	0	0	0	0	0	0	3	2	43	43	3	3	32	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	55	56	0	0	0	0	0	0	0	0	4	4	3	3	0	0	0	0	0	1	0	0	0	0	93	100	17	18	0	0	0	0	0	0	5	5	0	0	13	14	1	1
Perkinsidae	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaeophyceae	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Picozoa	Eukaryota	0	0	0	0	6	6	1	2	3	3	4	4	9	9	5	5	0	0	1	1	1	1	0	0	0	0	0	0	4	3	0	0	6	7	7	8	3	3	2	2	3	4	5	5	7	7	2	3	8	10	0	1	1	1	4	4	2	2	14	14	4	4	4	6	1	1	1	1	0	0	1	1	4	4	3	6	4	4	1	1	5	5	0	0	0	0	1	1	1	1	0	0	1	1	0	0	2	2	2	2	9	10	10	11	0	0	2	2	2	2	1	2	5	5	7	8	3	3	1	1	6	6	2	2	0	0	4	4	6	6	4	4	1	1	1	1	5	5	1	1	15	15	14	14
Pirsonia	Stramenopiles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polycystinea	Rhizaria	7	7	2	2	45	53	35	37	87	90	5	7	58	60	0	0	38	43	465	511	100	104	2	2	71	79	728	788	77	87	121	137	240	257	58	77	204	223	355	375	116	123	178	187	15	15	1	1	193	218	158	183	190	207	4217	4692	3248	3569	35	35	2319	2421	2	2	3	3	44	46	68	66	95	100	267	298	283	302	36	35	50	53	13	13	3527	4031	1051	1210	544	613	5692	6462	1278	1387	13805	14832	1264	1381	7505	8120	1143	1219	187	193	440	454	3	2	15	16	78	85	111	121	146	151	63	64	1	1	9	9	52	60	226	245	147	163	557	569	0	0	156	165	3	3	97	100	57	58	115	121	10	10	24	22
Prasino-Clade-IX	Archaeplastida	3	3	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	50	49	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	19	5	4	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	5	5
Prymnesiophyceae	Haptista	26	26	1	1	0	0	0	0	2	2	34	37	45	46	46	49	0	0	1	1	1	1	2	2	2	2	2	2	2	2	2	2	7	6	42	46	0	0	0	0	2	2	2	2	67	69	69	66	2	2	0	0	4	4	3	3	1	1	43	44	12	12	41	41	47	51	1	1	1	1	4	4	7	7	8	8	51	53	172	166	46	48	3	3	0	0	0	0	6	6	1	1	4	4	1	1	3	2	3	3	169	170	42	47	0	0	0	0	0	0	3	3	3	3	37	37	73	71	2	2	1	1	1	1	4	4	84	85	33	35	2	2	0	0	0	0	38	41	2	1	73	77	46	49
Pycnococcaceae	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyramimonadales	Archaeplastida	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1
RAD-A	Rhizaria	0	0	0	0	0	0	0	0	1	1	3	3	13	10	0	0	0	0	0	0	1	2	2	3	2	1	0	0	0	0	2	2	2	2	6	6	0	0	0	0	0	0	0	0	35	32	0	0	1	1	0	0	3	3	0	0	1	1	95	104	2	2	0	0	10	11	0	0	0	0	7	7	1	1	4	4	5	6	57	57	4	5	5	4	0	0	0	0	10	9	0	0	56	55	0	0	37	36	0	0	493	512	25	20	0	0	0	0	0	0	1	1	1	1	14	14	0	1	0	0	0	0	0	0	1	1	6	6	3	2	0	0	0	0	0	0	1	1	1	1	1	0	0	0
RAD-B	Rhizaria	4	4	123	129	64	68	59	61	79	85	27	28	60	63	0	0	4	4	55	58	25	25	4	4	78	85	143	156	110	114	22	24	71	70	27	26	43	44	72	77	128	131	86	89	84	81	0	0	96	100	83	84	42	44	82	84	48	48	100	107	73	72	0	0	4	4	36	35	47	47	56	60	63	64	88	88	27	28	18	19	16	14	36	38	40	41	29	33	65	65	81	87	66	65	73	72	65	65	52	54	46	45	50	49	21	23	43	43	64	67	69	75	65	68	41	38	3	3	100	110	89	90	62	64	57	58	31	29	5	5	63	66	55	56	90	93	35	37	89	90	30	29	0	0
RAD-C	Rhizaria	0	0	0	0	0	0	0	0	4	4	2	2	2	2	0	0	0	0	1	1	2	2	0	0	1	1	0	0	0	0	1	1	3	3	1	1	1	1	1	1	1	1	1	1	3	3	0	0	3	3	1	1	0	0	4	4	4	4	0	0	6	5	0	0	0	0	1	1	0	0	3	2	2	2	2	2	2	3	10	9	0	0	20	20	0	0	2	2	19	19	1	1	39	37	1	1	34	33	1	1	44	43	4	4	0	0	2	2	2	2	0	0	0	0	0	0	0	0	1	1	1	1	2	2	2	2	1	1	0	0	1	1	0	0	0	0	3	3	5	5	0	0	0	0
Telonemia	Eukaryota	0	0	0	0	0	0	1	1	0	0	2	1	1	1	4	2	0	0	0	0	1	1	2	2	0	0	1	1	2	2	0	0	3	3	11	12	0	0	1	1	0	0	1	1	7	6	5	5	4	3	0	0	1	1	1	1	2	2	5	6	4	4	1	1	4	4	1	1	1	1	1	1	3	3	3	3	4	5	41	42	3	3	4	3	0	0	1	1	16	16	0	0	9	8	2	2	14	15	1	1	41	40	3	3	0	0	0	0	0	0	2	2	1	0	6	6	5	5	0	0	0	0	0	0	0	0	8	9	1	1	1	1	0	0	0	0	3	3	2	2	2	2	8	7
Tubulinea	Amoebozoa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ulvophyceae	Archaeplastida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X-Cell	Alveolata	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	2	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
