Sample	Station	Depth	Layer	Layer2	Fraction	Approach	temp	cond	salinity	O2	Ocean	Sub_ocean	Long_prov	lat	long
MP2820	141	3	Photic	Surface	Nano	mTags	23.87	5.52	37.53	4.49	AO	NAO	NASE	26.911	-32.837
MP2821	141	3	Photic	Surface	Pico	mTags	23.87	5.52	37.53	4.49	AO	NAO	NASE	26.911	-32.837
D874	49	86	Photic	DCM	Pico	ampliconV4	19.23	4.79	35.57	4.64	IO	IO	ISSG	-33.907	37.042
D872	49	450	Aphotic	Mesopelagic	Pico	ampliconV4	13.54	4.2	35.29	4.56	IO	IO	ISSG	-33.907	37.042
D870	49	800	Aphotic	Mesopelagic	Pico	ampliconV4	10.08	3.83	34.82	4.65	IO	IO	ISSG	-33.907	37.042
D868	49	1200	Aphotic	Bathypelagic	Pico	ampliconV4	5.31	3.38	34.43	4.18	IO	IO	ISSG	-33.907	37.042
D866	49	3000	Aphotic	Bathypelagic	Pico	ampliconV4	2.27	3.21	34.81	NA	IO	IO	ISSG	-33.907	37.042
D864	49	4000	Aphotic	Bathypelagic	Pico	ampliconV4	1.11	3.14	34.74	4.67	IO	IO	ISSG	-33.907	37.042
D1170	63	3	Photic	Surface	Pico	ampliconV4	21.74	5.07	35.79	4.64	IO	IO	ISSG	-29.574	96.407
D1172	63	115	Photic	DCM	Pico	ampliconV4	16	4.47	35.68	5.07	IO	IO	ISSG	-29.574	96.407
D1180	63	420	Aphotic	Mesopelagic	Pico	ampliconV4	10.8	3.89	34.89	5.21	IO	IO	ISSG	-29.574	96.407
D1168	63	650	Aphotic	Mesopelagic	Pico	ampliconV4	9.21	3.73	34.67	5.01	IO	IO	ISSG	-29.574	96.407
D1158	63	950	Aphotic	Mesopelagic	Pico	ampliconV4	4.99	3.33	34.37	4.22	IO	IO	ISSG	-29.574	96.407
D1160	63	1790	Aphotic	Bathypelagic	Pico	ampliconV4	2.69	3.19	34.68	3.31	IO	IO	ISSG	-29.574	96.407
D1156	63	2600	Aphotic	Bathypelagic	Pico	ampliconV4	1.79	3.15	34.73	3.83	IO	IO	ISSG	-29.574	96.407
D1672	92	3	Photic	Surface	Pico	ampliconV4	28.13	5.69	35.39	4.22	PO	NPO	PEQD	-3.41	-169.463
D1684	92	65	Photic	DCM	Pico	ampliconV4	28.03	5.69	35.42	4.22	PO	NPO	PEQD	-3.41	-169.463
D1668	92	450	Aphotic	Mesopelagic	Pico	ampliconV4	8.47	3.65	34.65	1.67	PO	NPO	PEQD	-3.41	-169.463
D1662	92	1500	Aphotic	Bathypelagic	Pico	ampliconV4	3	3.2	34.6	2.25	PO	NPO	PEQD	-3.41	-169.463
D1660	92	4000	Aphotic	Bathypelagic	Pico	ampliconV4	1.4	3.16	34.7	3.57	PO	NPO	PEQD	-3.41	-169.463
D2229	120	3	Photic	Surface	Pico	ampliconV4	29.28	5.53	33.46	4.18	PO	NPO	PNEC	10.759	-102.442
D2227	120	37	Photic	DCM	Pico	ampliconV4	26.14	5.29	34.02	3.4	PO	NPO	PNEC	10.759	-102.442
D2225	120	280	Aphotic	Mesopelagic	Pico	ampliconV4	11.12	3.9	34.75	0.12	PO	NPO	PNEC	10.759	-102.442
D2221	120	780	Aphotic	Mesopelagic	Pico	ampliconV4	5.74	3.41	34.56	0.1	PO	NPO	PNEC	10.759	-102.442
D2219	120	2000	Aphotic	Bathypelagic	Pico	ampliconV4	2.26	3.16	34.65	1.86	PO	NPO	PNEC	10.759	-102.442
D874	49	86	Photic	DCM	Pico	ampliconV9	19.23	4.79	35.57	4.64	IO	IO	ISSG	-33.907	37.042
D872	49	450	Aphotic	Mesopelagic	Pico	ampliconV9	13.54	4.2	35.29	4.56	IO	IO	ISSG	-33.907	37.042
D870	49	800	Aphotic	Mesopelagic	Pico	ampliconV9	10.08	3.83	34.82	4.65	IO	IO	ISSG	-33.907	37.042
D868	49	1200	Aphotic	Bathypelagic	Pico	ampliconV9	5.31	3.38	34.43	4.18	IO	IO	ISSG	-33.907	37.042
D866	49	3000	Aphotic	Bathypelagic	Pico	ampliconV9	2.27	3.21	34.81	NA	IO	IO	ISSG	-33.907	37.042
D864	49	4000	Aphotic	Bathypelagic	Pico	ampliconV9	1.11	3.14	34.74	4.67	IO	IO	ISSG	-33.907	37.042
D1170	63	3	Photic	Surface	Pico	ampliconV9	21.74	5.07	35.79	4.64	IO	IO	ISSG	-29.574	96.407
D1172	63	115	Photic	DCM	Pico	ampliconV9	16	4.47	35.68	5.07	IO	IO	ISSG	-29.574	96.407
D1180	63	420	Aphotic	Mesopelagic	Pico	ampliconV9	10.8	3.89	34.89	5.21	IO	IO	ISSG	-29.574	96.407
D1168	63	650	Aphotic	Mesopelagic	Pico	ampliconV9	9.21	3.73	34.67	5.01	IO	IO	ISSG	-29.574	96.407
D1158	63	950	Aphotic	Mesopelagic	Pico	ampliconV9	4.99	3.33	34.37	4.22	IO	IO	ISSG	-29.574	96.407
D1160	63	1790	Aphotic	Bathypelagic	Pico	ampliconV9	2.69	3.19	34.68	3.31	IO	IO	ISSG	-29.574	96.407
D1156	63	2600	Aphotic	Bathypelagic	Pico	ampliconV9	1.79	3.15	34.73	3.83	IO	IO	ISSG	-29.574	96.407
D1672	92	3	Photic	Surface	Pico	ampliconV9	28.13	5.69	35.39	4.22	PO	NPO	PEQD	-3.41	-169.463
D1684	92	65	Photic	DCM	Pico	ampliconV9	28.03	5.69	35.42	4.22	PO	NPO	PEQD	-3.41	-169.463
D1668	92	450	Aphotic	Mesopelagic	Pico	ampliconV9	8.47	3.65	34.65	1.67	PO	NPO	PEQD	-3.41	-169.463
D1662	92	1500	Aphotic	Bathypelagic	Pico	ampliconV9	3	3.2	34.6	2.25	PO	NPO	PEQD	-3.41	-169.463
D1660	92	4000	Aphotic	Bathypelagic	Pico	ampliconV9	1.4	3.16	34.7	3.57	PO	NPO	PEQD	-3.41	-169.463
D2229	120	3	Photic	Surface	Pico	ampliconV9	29.28	5.53	33.46	4.18	PO	NPO	PNEC	10.759	-102.442
D2227	120	37	Photic	DCM	Pico	ampliconV9	26.14	5.29	34.02	3.4	PO	NPO	PNEC	10.759	-102.442
D2225	120	280	Aphotic	Mesopelagic	Pico	ampliconV9	11.12	3.9	34.75	0.12	PO	NPO	PNEC	10.759	-102.442
D2221	120	780	Aphotic	Mesopelagic	Pico	ampliconV9	5.74	3.41	34.56	0.1	PO	NPO	PNEC	10.759	-102.442
D2219	120	2000	Aphotic	Bathypelagic	Pico	ampliconV9	2.26	3.16	34.65	1.86	PO	NPO	PNEC	10.759	-102.442
